date,session_key,driver_number,meeting_key,gap_to_leader,interval
2025-12-07T13:26:51.544000+00:00,9839,18,1276,23.977,0.583
2025-12-07T13:26:52.113000+00:00,9839,4,1276,5.159,3.448
2025-12-07T13:26:52.441000+00:00,9839,27,1276,34.29,1.488
2025-12-07T13:26:52.490000+00:00,9839,12,1276,24.949,0.972
2025-12-07T13:26:53.301000+00:00,9839,30,1276,22.264,1.984
2025-12-07T13:26:53.332000+00:00,9839,14,1276,11.796,4.434
2025-12-07T13:26:53.394000+00:00,9839,6,1276,39.588,2.372
2025-12-07T13:26:53.707000+00:00,9839,63,1276,31.242,6.15
2025-12-07T13:26:54.276000+00:00,9839,5,1276,36.06,1.77
2025-12-07T13:26:54.345000+00:00,9839,55,1276,23.378,1.114
2025-12-07T13:26:54.382000+00:00,9839,16,1276,7.39,2.231
2025-12-07T13:26:54.556000+00:00,9839,87,1276,43.411,3.967
2025-12-07T13:26:54.716000+00:00,9839,18,1276,23.786,0.408
2025-12-07T13:26:54.902000+00:00,9839,81,1276,1.662,1.662
2025-12-07T13:26:54.942000+00:00,9839,4,1276,5.186,3.473
2025-12-07T13:26:55.315000+00:00,9839,44,1276,32.848,1.606
2025-12-07T13:26:55.407000+00:00,9839,23,1276,37.154,1.094
2025-12-07T13:26:55.644000+00:00,9839,12,1276,24.741,0.955
2025-12-07T13:26:56.703000+00:00,9839,27,1276,34.264,1.416
2025-12-07T13:26:57.095000+00:00,9839,16,1276,,2.204
2025-12-07T13:26:57.233000+00:00,9839,87,1276,43.468,3.88
2025-12-07T13:26:57.620000+00:00,9839,6,1276,39.482,2.328
2025-12-07T13:26:57.781000+00:00,9839,10,1276,51.094,7.613
2025-12-07T13:26:58.334000+00:00,9839,4,1276,5.132,3.47
2025-12-07T13:26:58.355000+00:00,9839,81,1276,1.771,1.771
2025-12-07T13:26:58.496000+00:00,9839,5,1276,36.053,1.789
2025-12-07T13:26:58.791000+00:00,9839,14,1276,11.827,4.437
2025-12-07T13:26:58.807000+00:00,9839,63,1276,31.237,6.288
2025-12-07T13:26:58.854000+00:00,9839,31,1276,19.3,7.508
2025-12-07T13:26:59.666000+00:00,9839,23,1276,37.211,1.158
2025-12-07T13:26:59.947000+00:00,9839,22,1276,20.42,1.12
2025-12-07T13:27:00.385000+00:00,9839,43,1276,53.707,2.613
2025-12-07T13:27:00.401000+00:00,9839,44,1276,32.836,1.599
2025-12-07T13:27:00.526000+00:00,9839,16,1276,7.334,2.202
2025-12-07T13:27:00.744000+00:00,9839,31,1276,19.335,7.539
2025-12-07T13:27:01.447000+00:00,9839,87,1276,43.294,3.812
2025-12-07T13:27:01.572000+00:00,9839,14,1276,11.87,4.48
2025-12-07T13:27:01.760000+00:00,9839,4,1276,5.16,3.389
2025-12-07T13:27:01.807000+00:00,9839,27,1276,34.242,1.406
2025-12-07T13:27:01.885000+00:00,9839,22,1276,20.473,1.138
2025-12-07T13:27:01.947000+00:00,9839,6,1276,39.494,2.283
2025-12-07T13:27:01.963000+00:00,9839,81,1276,1.777,1.777
2025-12-07T13:27:02.135000+00:00,9839,63,1276,31.223,6.482
2025-12-07T13:27:02.135000+00:00,9839,30,1276,22.565,2.145
2025-12-07T13:27:02.166000+00:00,9839,10,1276,51.068,7.657
2025-12-07T13:27:03.182000+00:00,9839,55,1276,23.658,1.093
2025-12-07T13:27:03.604000+00:00,9839,5,1276,36.062,1.82
2025-12-07T13:27:03.635000+00:00,9839,18,1276,24.089,0.431
2025-12-07T13:27:03.713000+00:00,9839,44,1276,32.807,1.584
2025-12-07T13:27:03.994000+00:00,9839,30,1276,22.581,2.108
2025-12-07T13:27:04.119000+00:00,9839,81,1276,1.772,1.772
2025-12-07T13:27:04.135000+00:00,9839,16,1276,7.551,2.391
2025-12-07T13:27:04.338000+00:00,9839,12,1276,24.823,0.734
2025-12-07T13:27:04.729000+00:00,9839,23,1276,37.187,1.125
2025-12-07T13:27:04.885000+00:00,9839,10,1276,51.112,7.644
2025-12-07T13:27:04.932000+00:00,9839,14,1276,11.735,4.401
2025-12-07T13:27:04.979000+00:00,9839,43,1276,53.869,2.801
2025-12-07T13:27:05.072000+00:00,9839,55,1276,23.687,1.106
2025-12-07T13:27:05.151000+00:00,9839,27,1276,34.203,1.396
2025-12-07T13:27:05.307000+00:00,9839,4,1276,5.162,3.385
2025-12-07T13:27:05.494000+00:00,9839,18,1276,24.075,0.388
2025-12-07T13:27:05.729000+00:00,9839,87,1276,43.29,3.796
2025-12-07T13:27:06.312000+00:00,9839,31,1276,19.366,
2025-12-07T13:27:06.549000+00:00,9839,12,1276,24.857,0.782
2025-12-07T13:27:07.032000+00:00,9839,5,1276,36.056,1.853
2025-12-07T13:27:07.055000+00:00,9839,6,1276,39.5,2.313
2025-12-07T13:27:07.467000+00:00,9839,22,1276,20.501,1.135
2025-12-07T13:27:07.519000+00:00,9839,4,1276,5.17,3.398
2025-12-07T13:27:07.769000+00:00,9839,16,1276,7.596,2.434
2025-12-07T13:27:07.782000+00:00,9839,43,1276,54.007,2.895
2025-12-07T13:27:08.054000+00:00,9839,23,1276,37.132,1.076
2025-12-07T13:27:08.519000+00:00,9839,14,1276,11.914,4.363
2025-12-07T13:27:09.097000+00:00,9839,31,1276,19.382,7.512
2025-12-07T13:27:09.164000+00:00,9839,10,1276,51.015,7.721
2025-12-07T13:27:09.580000+00:00,9839,30,1276,22.616,2.115
2025-12-07T13:27:09.919000+00:00,9839,16,1276,7.57,2.4
2025-12-07T13:27:10.190000+00:00,9839,22,1276,20.476,1.094
2025-12-07T13:27:10.415000+00:00,9839,6,1276,39.498,2.366
2025-12-07T13:27:10.586000+00:00,9839,63,1276,31.024,6.201
2025-12-07T13:27:10.672000+00:00,9839,55,1276,23.702,1.086
2025-12-07T13:27:10.851000+00:00,9839,87,1276,43.305,3.805
