meeting_key,session_key,overtaking_driver_number,overtaken_driver_number,date,position
1141,7953,14,77,2023-03-05T15:31:04.783000+00:00,6
1141,7953,1,11,2023-03-05T15:31:56.110000+00:00,1
1141,7953,16,11,2023-03-05T15:32:06.500000+00:00,2
1141,7953,21,4,2023-03-05T15:32:40.062000+00:00,14
1141,7953,63,77,2023-03-05T15:32:44.453000+00:00,7
1141,7953,27,4,2023-03-05T15:32:46.468000+00:00,15
1141,7953,24,4,2023-03-05T15:32:46.796000+00:00,16
1141,7953,20,4,2023-03-05T15:32:56.077000+00:00,17
1141,7953,24,27,2023-03-05T15:33:04.905000+00:00,15
1141,7953,31,4,2023-03-05T15:33:14.687000+00:00,18
1141,7953,18,77,2023-03-05T15:35:47.699000+00:00,8
1141,7953,77,18,2023-03-05T15:35:47.715000+00:00,8
1141,7953,18,77,2023-03-05T15:35:49.637000+00:00,8
1141,7953,4,31,2023-03-05T15:41:46.037000+00:00,18
1141,7953,24,21,2023-03-05T15:44:36.143000+00:00,14
1141,7953,11,16,2023-03-05T15:45:19.173000+00:00,2
1141,7953,2,10,2023-03-05T15:45:55.095000+00:00,12
1141,7953,24,10,2023-03-05T15:45:59.657000+00:00,13
1141,7953,21,10,2023-03-05T15:46:01.001000+00:00,14
1141,7953,27,10,2023-03-05T15:46:05.641000+00:00,15
1141,7953,20,10,2023-03-05T15:46:07.673000+00:00,16
1141,7953,2,22,2023-03-05T15:47:35.140000+00:00,11
1141,7953,2,23,2023-03-05T15:47:35.140000+00:00,10
1141,7953,24,22,2023-03-05T15:47:39.093000+00:00,12
1141,7953,24,23,2023-03-05T15:47:39.093000+00:00,11
1141,7953,21,22,2023-03-05T15:47:40.983000+00:00,13
1141,7953,21,23,2023-03-05T15:47:40.983000+00:00,12
1141,7953,20,27,2023-03-05T15:47:42.405000+00:00,15
1141,7953,20,22,2023-03-05T15:47:47.249000+00:00,14
1141,7953,20,23,2023-03-05T15:47:47.249000+00:00,13
1141,7953,10,27,2023-03-05T15:47:54.421000+00:00,16
1141,7953,4,27,2023-03-05T15:48:02.045000+00:00,17
1141,7953,31,27,2023-03-05T15:48:05.936000+00:00,18
1141,7953,10,22,2023-03-05T15:48:07.420000+00:00,15
1141,7953,22,10,2023-03-05T15:48:38.592000+00:00,15
1141,7953,10,22,2023-03-05T15:48:44.685000+00:00,15
1141,7953,20,21,2023-03-05T15:49:26.560000+00:00,12
1141,7953,23,21,2023-03-05T15:49:32.263000+00:00,13
1141,7953,10,21,2023-03-05T15:49:32.919000+00:00,14
1141,7953,22,21,2023-03-05T15:49:33.575000+00:00,15
1141,7953,31,4,2023-03-05T15:49:45.575000+00:00,17
1141,7953,27,4,2023-03-05T15:50:00.653000+00:00,18
1141,7953,2,77,2023-03-05T15:52:34.009000+00:00,9
1141,7953,24,77,2023-03-05T15:52:37.072000+00:00,10
1141,7953,23,20,2023-03-05T15:52:43.119000+00:00,12
1141,7953,10,20,2023-03-05T15:52:48.697000+00:00,13
1141,7953,22,20,2023-03-05T15:52:49.134000+00:00,14
1141,7953,21,20,2023-03-05T15:53:01.509000+00:00,15
1141,7953,31,20,2023-03-05T15:53:08.321000+00:00,16
1141,7953,14,44,2023-03-05T15:53:37.399000+00:00,5
1141,7953,63,44,2023-03-05T15:53:47.867000+00:00,6
1141,7953,24,2,2023-03-05T15:54:11.679000+00:00,9
1141,7953,77,2,2023-03-05T15:54:22.398000+00:00,10
1141,7953,23,2,2023-03-05T15:54:25.632000+00:00,11
1141,7953,10,2,2023-03-05T15:54:26.429000+00:00,12
1141,7953,22,2,2023-03-05T15:54:27.304000+00:00,13
1141,7953,14,55,2023-03-05T15:55:20.288000+00:00,4
1141,7953,44,63,2023-03-05T15:55:42.568000+00:00,6
1141,7953,18,63,2023-03-05T15:56:07.912000+00:00,7
1141,7953,20,31,2023-03-05T15:57:16.520000+00:00,16
1141,7953,77,24,2023-03-05T15:57:32.504000+00:00,9
1141,7953,23,24,2023-03-05T15:57:41.676000+00:00,10
1141,7953,10,24,2023-03-05T15:57:42.410000+00:00,11
1141,7953,22,24,2023-03-05T15:57:43.113000+00:00,12
1141,7953,2,24,2023-03-05T15:57:53.316000+00:00,13
1141,7953,21,24,2023-03-05T15:57:54.988000+00:00,14
1141,7953,27,31,2023-03-05T15:58:03.441000+00:00,17
1141,7953,4,31,2023-03-05T15:58:21.191000+00:00,18
1141,7953,14,16,2023-03-05T15:58:35.893000+00:00,3
1141,7953,16,14,2023-03-05T16:00:22.704000+00:00,3
1141,7953,55,14,2023-03-05T16:00:31.829000+00:00,4
1141,7953,44,14,2023-03-05T16:00:37.469000+00:00,5
1141,7953,14,44,2023-03-05T16:04:07.169000+00:00,5
1141,7953,44,14,2023-03-05T16:04:12.512000+00:00,5
1141,7953,14,44,2023-03-05T16:06:16.026000+00:00,5
1141,7953,31,4,2023-03-05T16:06:57.728000+00:00,18
1141,7953,55,16,2023-03-05T16:09:55.694000+00:00,3
1141,7953,14,16,2023-03-05T16:09:57.928000+00:00,4
1141,7953,44,16,2023-03-05T16:09:59.006000+00:00,5
1141,7953,18,16,2023-03-05T16:10:05.272000+00:00,6
1141,7953,63,16,2023-03-05T16:10:07.069000+00:00,7
1141,7953,77,16,2023-03-05T16:10:19.146000+00:00,8
1141,7953,23,16,2023-03-05T16:10:31.006000+00:00,9
1141,7953,10,16,2023-03-05T16:10:32.131000+00:00,10
1141,7953,22,16,2023-03-05T16:10:33.459000+00:00,11
1141,7953,2,16,2023-03-05T16:10:42.849000+00:00,12
1141,7953,21,16,2023-03-05T16:10:52.052000+00:00,13
1141,7953,24,16,2023-03-05T16:10:53.021000+00:00,14
1141,7953,20,16,2023-03-05T16:10:57.677000+00:00,15
1141,7953,27,16,2023-03-05T16:11:04.380000+00:00,16
1141,7953,21,2,2023-03-05T16:11:18.192000+00:00,12
1141,7953,21,22,2023-03-05T16:11:18.192000+00:00,11
1141,7953,24,2,2023-03-05T16:11:19.942000+00:00,13
1141,7953,21,10,2023-03-05T16:11:20.395000+00:00,10
1141,7953,21,23,2023-03-05T16:11:20.395000+00:00,9
1141,7953,24,22,2023-03-05T16:11:22.380000+00:00,12
1141,7953,23,21,2023-03-05T16:11:22.942000+00:00,9
1141,7953,10,21,2023-03-05T16:11:23.598000+00:00,10
1141,7953,21,10,2023-03-05T16:11:29.458000+00:00,10
1141,7953,10,21,2023-03-05T16:11:40.723000+00:00,10
1141,7953,31,16,2023-03-05T16:11:56.379000+00:00,17
1141,7953,4,16,2023-03-05T16:12:07.707000+00:00,18
1141,7953,10,23,2023-03-05T16:13:15.784000+00:00,9
1141,7953,22,24,2023-03-05T16:13:24.018000+00:00,12
1141,7953,22,21,2023-03-05T16:13:29.377000+00:00,11
1141,7953,4,31,2023-03-05T16:14:06.533000+00:00,17
1141,7953,24,21,2023-03-05T16:14:59.454000+00:00,12
1141,7953,2,21,2023-03-05T16:16:30.671000+00:00,13
1141,7953,14,55,2023-03-05T16:18:14.497000+00:00,3
1141,7953,2,24,2023-03-05T16:19:46.949000+00:00,12
1141,7953,24,2,2023-03-05T16:19:53.902000+00:00,12
1141,7953,2,24,2023-03-05T16:21:42.025000+00:00,12
1141,7953,63,18,2023-03-05T16:28:01.471000+00:00,6
1141,7953,18,63,2023-03-05T16:28:02.893000+00:00,6
1141,7953,20,21,2023-03-05T16:28:09.299000+00:00,14
1141,7953,20,24,2023-03-05T16:34:39.823000+00:00,13
1141,7953,21,24,2023-03-05T16:34:44.479000+00:00,14
1141,7953,27,24,2023-03-05T16:34:46.464000+00:00,15
1142,7779,14,11,2023-03-19T17:03:57.623000+00:00,1
1142,7779,16,24,2023-03-19T17:03:59.389000+00:00,11
1142,7779,16,27,2023-03-19T17:03:59.389000+00:00,10
1142,7779,24,27,2023-03-19T17:03:59.404000+00:00,11
1142,7779,23,22,2023-03-19T17:04:00.311000+00:00,16
1142,7779,22,23,2023-03-19T17:04:00.389000+00:00,16
1142,7779,4,21,2023-03-19T17:04:00.498000+00:00,18
1142,7779,10,81,2023-03-19T17:04:02.842000+00:00,8
1142,7779,81,10,2023-03-19T17:04:07.935000+00:00,8
1142,7779,23,22,2023-03-19T17:04:13.779000+00:00,16
1142,7779,22,23,2023-03-19T17:04:19.466000+00:00,16
1142,7779,18,55,2023-03-19T17:04:32.904000+00:00,4
1142,7779,10,81,2023-03-19T17:04:41.607000+00:00,8
1142,7779,23,22,2023-03-19T17:04:43.560000+00:00,16
1142,7779,22,23,2023-03-19T17:04:48.232000+00:00,16
1142,7779,16,81,2023-03-19T17:04:57.294000+00:00,9
1142,7779,81,16,2023-03-19T17:05:03.497000+00:00,9
1142,7779,16,81,2023-03-19T17:05:05.981000+00:00,9
1142,7779,20,27,2023-03-19T17:05:06.716000+00:00,12
1142,7779,1,77,2023-03-19T17:05:21.637000+00:00,14
1142,7779,24,81,2023-03-19T17:05:23.856000+00:00,10
1142,7779,81,24,2023-03-19T17:05:27.981000+00:00,10
1142,7779,24,81,2023-03-19T17:05:35.528000+00:00,10
1142,7779,20,81,2023-03-19T17:05:35.637000+00:00,11
1142,7779,27,81,2023-03-19T17:05:35.715000+00:00,12
1142,7779,1,81,2023-03-19T17:05:36.153000+00:00,13
1142,7779,22,77,2023-03-19T17:05:36.684000+00:00,15
1142,7779,22,81,2023-03-19T17:05:36.684000+00:00,14
1142,7779,77,81,2023-03-19T17:05:36.746000+00:00,15
1142,7779,23,81,2023-03-19T17:05:37.043000+00:00,16
1142,7779,4,81,2023-03-19T17:05:37.293000+00:00,17
1142,7779,21,81,2023-03-19T17:05:37.684000+00:00,18
1142,7779,20,24,2023-03-19T17:05:38.996000+00:00,10
1142,7779,2,81,2023-03-19T17:05:41.559000+00:00,19
1142,7779,24,20,2023-03-19T17:05:44.355000+00:00,10
1142,7779,2,21,2023-03-19T17:06:25.792000+00:00,18
1142,7779,2,4,2023-03-19T17:07:17.651000+00:00,17
1142,7779,21,4,2023-03-19T17:07:18.416000+00:00,18
